Colon,Segment,Phantom Number,Video Number ,Video Name,Camera Speed,Edge Enhancement,Brightness,Debris,Deformation,Open End Visible,Tags,Comments,Qualitative Score,Quantitative Score,Youtube Preview URL ID,Total Frames
c1,transverse1,t2,v1,c1_transverse1_t2_v1,7.0,2.0,2.0,no,no,yes,zigzag,Side to side movement,3.0,0.473,N0R-Fr1HwWM,673
c1,transverse1,t2,v2,c1_transverse1_t2_v2,17.0,2.0,2.0,no,no,yes,,,2.0,-0.3895,TS0bxnCjWL4,235
c1,transverse1,t2,v3,c1_transverse1_t2_v3,17.0,2.0,2.0,yes,no,yes,,blood,2.0,,L5URD4xbeJE,235
c1,transverse1,t3,v1,c1_transverse1_t3_v1,26.0,3.0,4.0,no,no,yes,fast; loop,"back to the same point, almost similar path front & back",3.0,0.3711,_xtxLtByf3E,203
c1,transverse1,t3,v2,c1_transverse1_t3_v2,21.0,3.0,4.0,no,no,yes,textureless enface,,3.0,0.8495,X4RUB5R63YQ,184
c1,transverse1,t3,v3,c1_transverse1_t3_v3,21.0,3.0,4.0,yes,no,yes,,blood pool covers FOV,3.0,,TiAa1eqUdsU,184
c1,transverse1,t4,v1,c1_transverse1_t4_v1,15.0,3.0,0.0,no,no,yes,,,2.0,0.1491,lJWvSawG2WU,315
c1,transverse1,t4,v2,c1_transverse1_t4_v2,10.0,3.0,0.0,no,no,yes,,,2.0,0.0628,mZia7NzFt7U,626
c1,transverse1,t4,v3,c1_transverse1_t4_v3,10.0,3.0,0.0,yes,no,yes,,Foam and debris,2.0,,vAAXRQL8mpg,626
c1,transverse1,t4,v4,c1_transverse1_t4_v4,10.0,3.0,0.0,yes,yes,yes,straight line,,,,pQRAekgnQWM,277
c1,transverse2,t1,v1,c1_transverse2_t1_v1,20.0,3.0,0.0,no,no,yes,polyp,Straight towards the polyp,3.0,0.0387,H9W-P-i1x84,268
c1,transverse2,t1,v2,c1_transverse2_t1_v2,10.0,3.0,0.0,no,no,yes,loop ; polyp,inspect the polyp; start and end point is the same,3.0,-0.4842,U_XqPPsEQZ0,517
c1,transverse2,t1,v3,c1_transverse2_t1_v3,10.0,3.0,0.0,yes,no,yes,loop ; polyp,false positive  polyp-like fecal debris near poyp,3.0,,CD_P9lvW31A,517
c1,transverse2,t2,v1,c1_transverse2_t2_v1,12.0,2.0,3.0,no,no,yes,polyp; saturation,towards the polyp & inspect it,1.0,0.9139,ycOEQ760BOE,457
c1,transverse2,t2,v2,c1_transverse2_t2_v2,12.0,2.0,3.0,no,no,yes,polyp; saturation,Inspect the polyp,1.0,0.6421,3FOnycgopS4,559
c1,transverse2,t2,v3,c1_transverse2_t2_v3,12.0,2.0,3.0,yes,no,yes,polyp; saturation,yellow foam,1.0,,4TJbDz6ZU40,559
c1,transverse2,t3,v1,c1_transverse2_t3_v1,20.0,3.0,4.0,no,no,yes,,swinging exploratory motion,1.0,1.8649,KJUb2D-RULE,578
c1,transverse2,t3,v2,c1_transverse2_t3_v2,17.0,3.0,4.0,no,no,yes,straight line,straight line motion backing up,1.0,0.6416,ubBOpvW0CJY,249
c1,transverse2,t3,v3,c1_transverse2_t3_v3,17.0,3.0,4.0,yes,no,yes,straight line,yellow fecal matter; straight line motion backing up,1.0,,eRzIB4ZReVQ,249
c1,transverse2,t4,v1,c1_transverse2_t4_v1,12.0,2.0,0.0,no,no,yes,,,3.0,-0.5096,RXnRHyYE2r8,258
c1,transverse2,t4,v2,c1_transverse2_t4_v2,12.0,2.0,0.0,no,no,yes,zigzag,,3.0,0.8025,GJb2d7k1ARw,419
c1,transverse2,t4,v3,c1_transverse2_t4_v3,7.0,2.0,0.0,yes,no,yes,zigzag,,3.0,,X5nWILoo3eU,419
c2,ascending,t1,v1,c2_ascending_t1_v1,40.0,2.0,2.0,no,no,yes,fast ; exploratory; polyp ,exploratory motion,2.0,0.8501,ozqeovNOIfE,283
c2,ascending,t1,v2,c2_ascending_t1_v2,20.0,2.0,-3.0,no,no,yes,polyp ; water on lens ; exploratory; saturation,"exploratory motion with close up to the two polyps, lens cleaning and water on lens in the later portion of the video",2.0,-0.2865,qLPYiL_OFzs,515
c2,ascending,t1,v3,c2_ascending_t1_v3,20.0,2.0,-3.0,yes,no,yes,polyp ; exploratory ; water jet; saturation,cleaning foam of the polyp,2.0,,Ex6d3rG_fTg,515
c2,ascending,t1,v4,c2_ascending_t1_v4,0.0,2.0,-3.0,yes,yes,no,,"stationary camera, double compression and deflation ",,,PlKL5on9hiE,441
c2,ascending,t2,v1,c2_ascending_t2_v1,13.0,3.0,-2.0,no,no,yes,polyp ,45 deg turn of robotic arm,2.0,0.5087,Qp2iyiBW45I,395
c2,ascending,t2,v2,c2_ascending_t2_v2,10.0,3.0,-2.0,no,no,yes,zigzag,swinging exploratory motion,1.0,1.1417,6b-rqr3wg4k,444
c2,ascending,t2,v3,c2_ascending_t2_v3,10.0,3.0,-2.0,yes,no,yes,zigzag,"blood, foam, red debris",1.0,,WkPDh3ZMIUs,444
c2,ascending,t3,v1,c2_ascending_t3_v1,25.0,2.0,6.0,no,no,yes,polyp ; fast ; saturation,"polyp in focus, high saturation in images",3.0,-1.2219,ujYcnSfoSEw,340
c2,ascending,t3,v2,c2_ascending_t3_v2,20.0,2.0,-2.0,no,no,yes,polyp ; fast ,Wait in front of the polyp,3.0,-1.3121,TVE-ox8LQkw,522
c2,ascending,t3,v3,c2_ascending_t3_v3,20.0,2.0,-2.0,yes,no,yes,polyp ; fast ; water jet ,"water jet; Cleaning polyp, blood foam, ",3.0,,HVe71mdQ0Gk,522
c2,ascending,t4,v1,c2_ascending_t4_v1,40.0,3.0,4.0,no,no,yes,mirrored path ; water on lens ; fast ; polyp,first half of path is the same as second half; lens cleaning and water on the lens in the middle,3.0,-0.2158,shSjHJlIw5o,292
c2,ascending,t4,v2,c2_ascending_t4_v2,30.0,3.0,-2.0,no,no,yes,polyp ; water jet ; water on lens ,"close up of polyp, water jet to on first polyp, lens cleaning and water on lens near second polyp",3.0,-1.2265,S2siIi2omoo,455
c2,ascending,t4,v3,c2_ascending_t4_v3,30.0,3.0,-2.0,yes,no,yes,polyp ; water jet ; water on lens ,cleaning up polyp using water jet; lens cleaning an water on lens,3.0,,q2MfKAFFEs4,455
c2,cecum,t1,v1,c2_cecum_t1_v1,30.0,3.0,0.0,no,no,no,fast ; exploratory ,exploratory exploratory motion,1.0,0.6218,h8-p-8Pdwac,304
c2,cecum,t1,v2,c2_cecum_t1_v2,60.0,3.0,0.0,no,no,no,fast ; zigzag,"fast zizag pendulum like motion, wait in the middle",2.0,-0.5393,4Jsq4z8ON6M,431
c2,cecum,t1,v3,c2_cecum_t1_v3,60.0,3.0,0.0,yes,no,no,fast ; zigzag ; water jet ; water on lens ,fast zizag motion with water jet on foam and lens cleaning & water on lens immediately afterwards,2.0,,AMWlVyGLMjE,431
c2,cecum,t1,v4,c2_cecum_t1_v4,12.0,3.0,0.0,yes,yes,no,straight line,straight line motion during contraction,,,8qc_FbkAsOk,317
c2,cecum,t2,v2,c2_cecum_t2_v2,20.0,3.0,-2.0,no,no,no,exploratory,"exploratory motion, ICV",3.0,-3.41,jh-WiYjS7n0,452
c2,cecum,t2,v3,c2_cecum_t2_v3,20.0,3.0,-2.0,yes,no,no,exploratory ,"blood pool, ICV",3.0,,a7zSKzEEwd0,452
c2,cecum,t3,v1,c2_cecum_t3_v1,50.0,2.0,2.0,no,no,no,fast ,"Fast motion, bumping against the wall",2.0,-0.918,o4sHrW9JqxU,228
c2,cecum,t3,v2,c2_cecum_t3_v2,30.0,2.0,2.0,no,no,no,fast,oscillatory motion in exploration,1.0,-0.7306,CI45hWmj0EU,306
c2,cecum,t3,v3,c2_cecum_t3_v3,30.0,2.0,2.0,yes,no,no,fast ; water jet,water jet for cleaning foam to check ,1.0,,4OikTyvXBao,306
c2,cecum,t4,v1,c2_cecum_t4_v1,50.0,2.0,-4.0,no,no,no,fast ; loop ,fast jerky motion,2.0,-0.2529,sxqBik4awcM,191
c2,cecum,t4,v2,c2_cecum_t4_v2,20.0,2.0,-4.0,no,no,no,textureless enface ,"wait on the ICV, ",1.0,-0.3107,VrKEOLEsoy4,520
c2,cecum,t4,v3,c2_cecum_t4_v3,20.0,2.0,-4.0,yes,no,no,textureless enface ; water jet ,water jet; cleaning the debris on ICV; mucous pool,1.0,,a5e3rdmfvRE,520
c2,descending,t3,v1,c2_descending_t3_v1,22.0,3.0,4.0,no,no,yes,,,3.0,-0.3168,9N7dSenLGwE,198
c2,descending,t3,v2,c2_descending_t3_v2,12.0,3.0,4.0,no,no,yes,textureless enface; saturation,textureless surface en face to down the barrel,3.0,-2.8209,gn2M7HyZBZ8,413
c2,descending,t3,v3,c2_descending_t3_v3,12.0,3.0,4.0,yes,no,yes,textureless enface; saturation,yellow fecal debris ,3.0,,-KWgPa0497o,413
c2,descending,t4,v1,c2_descending_t4_v1,11.0,2.0,-1.0,no,no,yes, ,en face to down the barrel (down the barrel still visible in en face),2.0,-0.4133,sYO1DlmAuZM,252
c2,descending,t4,v2,c2_descending_t4_v2,40.0,2.0,-1.0,no,no,yes,loop ; fast ,fast  motion loop start & end are same points,1.0,0.3733,EVljOx1moZA,128
c2,descending,t4,v3,c2_descending_t4_v3,40.0,2.0,-1.0,yes,no,yes,loop ; fast ,,1.0,,2XTd6N4NZiU,128
c2,full,t1,v1,c2_full_t1_v1,,2.0,,yes,,No,polyp ; textureless enface,,,,5UWAdDNBUBU,11000
c2,full,t2,v1,c2_full_t2_v1,,2.0,,yes,,No,polyp ; textureless enface ; water on lens;  debris on lens ; saturation; exploratory,,,,RheTAhTLeZU,12400
c2,full,t3,v1,c2_full_t3_v1,,2.0,,no,,No,polyp ; water on lens ; textureless enface ; exploratory ; saturation,Debris on lens for last one third of the video,,,q0zlY3B-FHc,14200
c2,full,t4,v1,c2_full_t4_v1,,2.0,,yes,,No,"polyp ; textureless enface ; water on lens ; debris on lens ; suction ; exploratory, saturation",,,,ULDgBWYsRts,12300
c2,rectum,t1,v1,c2_rectum_t1_v1,15.0,3.0,-1.0,no,no,yes,polyp ; textureless enface,,1.0,0.7137,OKwJsiVuhZA,154
c2,rectum,t1,v2,c2_rectum_t1_v2,15.0,3.0,-3.0,no,no,yes,polyp ; textureless enface ,close up of polyp and textureless surface; start end point are close,2.0,-1.4348,GWIeiOGCV2c,712
c2,rectum,t1,v3,c2_rectum_t1_v3,15.0,3.0,-3.0,yes,no,yes,polyp ; textureless enface ; water jet ; water on lens ; debris on lens ,cleaning debris of the polyp; lens covered by foam and cleaned; last and first position are close,2.0,,LrnJ8Thg0U4,712
c2,rectum,t1,v4,c2_rectum_t1_v4,,,,yes,yes,yes,,stationary camera,,,zEJhEty1Dlc,366
c2,rectum,t2,v1,c2_rectum_t2_v1,10.0,3.0,0.0,no,no,yes,textureless enface,Inspect the polyp,3.0,-1.9057,olSFyxnMRWw,519
c2,rectum,t2,v2,c2_rectum_t2_v2,16.0,3.0,0.0,no,no,yes,polyp ; textureless enface ,,3.0,-1.7039,O-o7w0mlXCg,383
c2,rectum,t2,v3,c2_rectum_t2_v3,16.0,3.0,0.0,yes,no,yes,polyp ; textureless enface,fov covered by mucous pool,3.0,,Ak1JH57nwhc,383
c2,rectum,t3,v1,c2_rectum_t3_v1,23.0,3.0,-2.0,no,no,yes,fast ; textureless enface,en face onto a textureless wall,1.0,0.8338,zkvXqL82QCQ,281
c2,rectum,t3,v2,c2_rectum_t3_v2,17.0,3.0,-3.0,no,no,yes,textureless enface ; mirrored path,"first half and second half of the trajectory is the same, bumps into the wall in the middle",1.0,0.5534,toquq2WvlD0,333
c2,rectum,t3,v3,c2_rectum_t3_v3,17.0,3.0,-3.0,yes,no,yes,textureless enface ; mirrored path ; debris on lens ,second half of the video lens is dipped in pool and covered by mucous; ,1.0,,URr82C37DOA,333
c2,rectum,t4,v1,c2_rectum_t4_v1,45.0,2.0,1.0,no,no,yes,fast ; textureless enface ; loop,"fast motion,  texureless surface, loop to first point",2.0,0.9719,O5golv4ugis,198
c2,rectum,t4,v2,c2_rectum_t4_v2,15.0,2.0,1.0,no,no,yes,textureless enface ,,2.0,-0.8674,89-0KOjV2Mw,296
c2,rectum,t4,v3,c2_rectum_t4_v3,15.0,2.0,1.0,yes,no,yes,textureless enface ,mucous pool,2.0,,MEIrncnJqV8,296
c2,sigmoid,t1,v1,c2_sigmoid_t1_v1,7.0,3.0,0.0,no,no,yes,polyp ; textureless enface ,,1.0,-0.6216,kaihm6Mb84M,501
c2,sigmoid,t1,v2,c2_sigmoid_t1_v2,10.0,3.0,-3.0,no,no,yes,textureless enface ; straight  line ; mirrored path,"straight line, first and last position is the same; into a texture-less syrface",1.0,1.1396,Cub_lh4UE4k,558
c2,sigmoid,t1,v3,c2_sigmoid_t1_v3,10.0,3.0,-3.0,yes,no,yes,textureless enface ; straight line ; mirrored path ; debris on lens ; water on lens ,straight line motion back to the same point; len covered with red debris and cleaned ; water on lens,1.0,,U920jpM8b7E,558
c2,sigmoid,t1,v4,c2_sigmoid_t1_v4,0.0,3.0,-3.0,yes,yes,no,"textureless enface, debris on lens",stationary camera,,,TawsQMJ8xyY,446
c2,sigmoid,t2,v1,c2_sigmoid_t2_v1,11.0,3.0,0.0,no,no,yes,polyp ,start facing the polyp,1.0,1.9039,l19X7CXdn_Q,466
c2,sigmoid,t2,v2,c2_sigmoid_t2_v2,14.0,3.0,0.0,no,no,yes,polyp,first half and and second half of the video has the same waypoints,1.0,-0.2833,8_kVyJPfW5c,448
c2,sigmoid,t2,v3,c2_sigmoid_t2_v3,14.0,3.0,0.0,yes,no,yes,polyp,Almost immerses in water; full FOV in mucous pool,1.0,,l2HD8BmnY4o,448
c2,sigmoid,t3,v1,c2_sigmoid_t3_v1,10.0,3.0,0.0,no,no,yes,textureless enface,,1.0,0.1815,Mgjp8MLukQI,391
c2,sigmoid,t3,v2,c2_sigmoid_t3_v2,15.0,3.0,-2.0,no,no,yes,straight line ; textureless enface ,"straight motion into textureless region (en face), first and last point are close",1.0,-1.2899,0sqHVda_3W4,225
